name,altitude,ascent_count,rating,region,report_count,rating_count,bb_count,hotel_count,hostel_count,cottage_count,camping_count,island,county,latitude,longitude,neighbor_count_1,neighbor_count_2.5,neighbor_count_5,neighbor_count_10,neighbor_count_15,neighbor_count_20,nearest_city_dist,nearest_city_population,population_25,population_50,population_75,population_100,beginner_friendly,national_park
Ben Nevis,1345,17902,3.84,Fort William,316,253,72,41,18,147,147,,Highland,56.796891,-5.003675,0,1,5,16,20,29,6.68,10459,10459,10459,19034,242223,0,
Ben Macdui,1309,10449,3.78,Cairngorms,215,162,37,29,9,182,182,,Aberdeenshire/Moray,57.070368,-3.669099,0,0,7,14,17,20,56.26,70000,0,0,158093,762982,0,Cairngorms
Braeriach,1296,6035,3.95,Cairngorms,141,94,37,29,9,182,182,,Aberdeenshire/Highland,57.078307,-3.728373,0,1,3,12,16,20,53.49,70000,0,0,150894,762982,0,Cairngorms
Cairn Toul,1291,5121,3.86,Cairngorms,136,83,37,29,9,182,182,,Aberdeenshire,57.054406,-3.710774,0,2,6,14,18,21,56.3,70000,0,0,205053,771982,0,Cairngorms
Sgor an Lochain Uaine,1258,4832,3.83,Cairngorms,139,79,37,29,9,182,182,,Aberdeenshire,57.058367,-3.725896,0,2,6,13,18,20,55.43,70000,0,0,158093,771982,0,Cairngorms
Cairn Gorm,1245,12258,3.19,Cairngorms,205,158,37,29,9,182,182,,Highland/Moray,57.116714,-3.644477,0,0,3,12,16,17,53.14,70000,0,0,178479,750921,1,Cairngorms
Aonach Beag (Nevis Range),1234,4216,3.67,Fort William,81,73,72,41,18,147,147,,Highland,56.799998,-4.954121,0,2,7,17,21,30,9.46,10459,10459,10459,19034,280033,0,
Aonach Mor,1221,4705,3.45,Fort William,86,73,72,41,18,147,147,,Highland,56.812941,-4.961712,0,2,5,17,20,30,8.77,10459,10459,10459,19034,280033,0,
Carn Mor Dearg,1220,6575,3.92,Fort William,164,97,72,41,18,147,147,,Highland,56.805246,-4.986616,0,3,3,17,21,29,7.4,10459,10459,10459,19034,242223,0,
Ben Lawers,1214,16070,3.81,Perthshire,255,231,58,71,5,96,96,,Perth and Kinross,56.544922,-4.22086,0,4,6,8,12,17,29.9,7368,0,23130,697523,3444617,0,
Beinn a'Bhuird,1197,3828,3.68,Cairngorms,77,67,37,29,9,182,182,,Aberdeenshire/Moray,57.08759,-3.499366,0,0,3,7,13,18,55.37,6061,0,0,184729,762383,0,Cairngorms
